Consumer shift (6:00 -14:00) arrival times,answer times,completion times
360.8674752316288,360.8674752, 362.1022916142665
360.58398095487195,360.583981, 362.29020623355893
360.995584044526,360.995584, 362.47507974670015
364.6817632240379,364.6817632, 365.2268519912976
365.5841006688146,365.5841007, 366.60536206411376
366.5810094708942,366.5810095, 367.23401194011996
364.98862223953364,364.9886222, 367.3126475544266
365.46177066404397,365.4617707, 367.80701295994123
367.26694191926487,367.2669419, 369.132559962649
368.6103858189847,368.6103858, 369.7613457158423
368.6160494381371,368.6160494, 370.28313547969185
372.0535885695235,372.0535886, 372.4702552361902
371.7242646074242,371.7242646, 373.10138532975617
372.6897803411171,372.6897803, 375.0906903198633
375.10847733646773,375.1084773, 376.4740847204353
377.1179125247722,377.1179125, 377.8887734151455
378.38902318415643,378.3890232, 379.32810917382994
378.9479376390689,378.9479376, 380.25201566271005
381.91248397492745,381.912484, 382.65419282851985
385.6002681261179,385.6002681, 386.4282545694226
387.6916959027256,387.6916959, 388.71613090692784
387.697465287797,387.6974653, 389.0203636541443
389.2170222809438,389.2170223, 389.6336889476105
389.1991581290802,389.1991581, 389.8324696732628
388.9993345364944,388.9993345, 390.1467586315579
390.60135619632524,390.6013562, 391.9562871642795
391.48543192197496,391.4854319, 393.3833781843995
393.2953906841974,393.2953907, 394.73750027196036
393.7973018187292,393.7973018, 395.0048822379186
397.5849082212351,397.5849082, 399.54004023887796
397.9731179586693,397.973118, 400.1228664111346
400.3356748804956,400.3356749, 401.7486339680724
400.3519228182426,400.3519228, 402.9007589199017
402.1827287316681,402.1827287, 402.9268603477264
402.3472197542994,402.3472198, 403.32961046290774
401.53394691130586,401.5339469, 403.49331015415584
402.5347483958023,402.5347484, 403.60454613105975
404.8122014603747,404.8122015, 405.4393650337061
404.4262782050158,404.4262782, 406.3873677634851
404.3485896647117,404.3485897, 406.52124655133787
406.0498741509207,406.0498742, 406.7719691865627
405.729245973591,405.729246, 407.01021510690896
405.7860898541827,405.7860899, 407.82440413172105
409.23784457239003,409.2378446, 409.6545112390567
411.95507511246404,411.9550751, 412.65178301958025
413.46432242121614,413.4643224, 416.001917546749
415.7083266794514,415.7083267, 416.70130839595924
416.8462641166788,416.8462641, 418.1734484163266
417.3520323445574,417.3520323, 418.3523611762337
418.4341529119116,418.4341529, 419.14291672163085
417.6801297853939,417.6801298, 419.299939228845
418.40779586831655,418.4077959, 419.94142860771234
417.98603330531205,417.9860333, 419.9739761052418
419.66882258150883,419.6688226, 420.45636648505223
419.14938633007034,419.1493863, 421.2641091552485
426.1296415303071,426.1296415, 427.34954435111706
426.65322516356804,426.6532252, 427.6733007640508
428.0535790787241,428.0535791, 429.04563967120237
429.41348013992285,429.4134801, 430.99942523192243
429.878598470326,429.8785985, 431.5495316461494
433.03679046662586,433.0367905, 435.1214010784768
434.007403470571,434.0074035, 435.1308487065826
434.0543887321752,434.0543887, 436.0077572859995
436.8896024221414,436.8896024, 437.71820255085044
437.5901714424667,437.5901714, 438.0068381091334
438.7400609552793,438.740061, 439.17104586750906
438.1040276163106,438.1040276, 439.32880118990215
440.58336042679144,440.5833604, 441.00862718724073
441.2187246050164,441.2187246, 441.94195921873677
443.1124777902886,443.1124778, 443.84520992992447
445.4853625420229,445.4853625, 446.72321348573956
446.0001920580797,446.0001921, 447.7262595331379
447.75646585730675,447.7564659, 448.95627456412427
450.60445520342313,450.6044552, 452.142421577998
451.5727743131163,451.5727743, 452.6950618354222
450.1499158958145,450.1499159, 452.73945069301885
452.8752504195115,452.8752504, 454.4250222069032
452.8633971859105,452.8633972, 454.8834520783652
455.1950189774487,455.195019, 455.61168564411537
454.9114295347857,454.9114295, 455.6754779942134
455.54248357199214,455.5424836, 456.18982076951875
456.23417938552967,456.2341794, 456.7349105294429
455.9347479598868,455.934748, 457.3795853092012
456.0463000022584,456.0463, 457.4425868023864
456.46773427163356,456.4677343, 457.90517262575554
456.970100836377,456.9701008, 458.0885522591614
456.5272929629813,456.527293, 458.2611725766385
458.3259055449938,458.3259055, 459.62745820790605
459.48254670930766,459.4825467, 460.72568380317927
460.6739352041346,460.6739352, 461.92761972310217
462.2238963455278,462.2238963, 463.3033386863597
462.2967250017397,462.296725, 463.39461728254594
462.52648226222436,462.5264823, 463.52098909031014
462.6961722795722,462.6961723, 463.788661607302
463.63371399419543,463.633714, 464.2854482076531
463.699575339497,463.6995753, 465.0128823493596
464.3902436335894,464.3902436, 465.5653452158201
464.48576646283885,464.4857665, 465.7523092519245
464.89311670925076,464.8931167, 465.89070609571957
465.70759134985593,465.7075913, 466.64172113802357
466.27314364340657,466.2731436, 466.89282015140554
464.79117352306554,464.7911735, 466.96739485653103
465.2311311565156,465.2311312, 467.53457055143946
467.3279430240665,467.327943, 467.93914572106075
467.00089939319594,467.0008994, 468.13064585382136
468.2040587742594,468.2040588, 469.0037270642314
468.03481112462373,468.0348111, 469.26891204727133
