Consumer shift (14:00 - 22:00) arrival times,answer times,completion times
840.0453317548948,840.0453318, 841.5174833515495
840.0615703581905,841.5174834, 842.1870912469224
840.5257084795712,842.1870912, 842.603757913589
840.6235338539067,842.6037579, 844.5891195930409
840.733872545338,844.5891196, 846.2142977136816
841.0420484386251,846.2142977, 847.0467114193016
842.0566926681984,847.0467114, 848.5593687496279
842.2109601493478,848.5593687, 850.0598292224033
842.5968822971047,850.0598292, 850.6586340542666
842.6745029432711,850.6586341, 851.313826935291
842.8056126439292,851.3138269, 852.6660495640972
843.0460408396989,852.6660496, 854.6623613574961
843.7500312010548,854.6623614, 856.9739190579156
843.813740708237,856.9739191, 857.9825690927778
844.0588150878532,857.9825691, 859.7881523975035
844.746839846446,859.7881524, 861.660244629601
844.7557322807189,861.6602446, 862.0769112962677
844.9385950034438,862.0769113, 862.6283489179201
845.5849695836586,862.6283489, 864.4339955407142
845.7555005660104,864.4339955, 865.3785940957274
845.9369080247227,865.3785941, 865.9760672717431
846.0255407201873,865.9760673, 867.3648259849856
846.4660125198156,867.364826, 867.7814926516522
847.0327272385886,867.7814927, 868.7085607617289
847.236820103559,868.7085608, 870.067642859356
847.5829237045537,870.0676429, 870.646969938106
847.6972716189237,870.6469699, 871.2437446073124
847.8009570453471,871.2437446, 871.8439055538277
847.8068845847054,871.8439056, 873.0342277747168
848.0219312571405,873.0342278, 874.3406416292848
848.4141213815427,874.3406416, 875.8524717655312
849.430936744719,875.8524718, 877.1562330514264
849.869481381757,877.1562331, 878.3211186060273
850.1056091706486,878.3211186, 879.7083068317193
850.3561274772162,879.7083068, 880.1249734983859
850.4484118033083,880.1249735, 881.4587175652923
850.5977752380517,881.4587176, 883.2754116854552
850.6456902426983,883.2754117, 885.472415032331
851.2093213188002,885.472415, 886.2400299784721
852.6304923971296,886.24003, 887.2490282168679
852.6666521199378,887.2490282, 888.2235636602215
853.4452193252793,888.2235637, 889.9809623703866
853.5446179528016,889.9809624, 890.656454137812
853.7646025596176,890.6564541, 891.6433318204964
854.1985726439203,891.6433318, 893.2468656022181
854.2122488633629,893.2468656, 894.9587108723956
854.5524948767132,894.9587109, 897.2215123941654
854.6592593734907,897.2215124, 897.638179060832
854.9592867393588,897.6381791, 899.2970482706579
855.0216127067883,899.2970483, 899.7137149373245
855.0619635551827,899.7137149, 901.4685485394425
855.1344864376764,901.4685485, 902.4994992643664
855.320596700557,902.4994993, 903.7334344493466
855.4682808081253,903.7334344, 904.7774574868691
855.667742021507,904.7774575, 906.1653138715486
855.7550797490682,906.1653139, 908.0700373602054
855.7705419176125,908.0700374, 909.9701625711647
856.5108513998316,909.9701626, 911.0964358685081
856.9109087213179,911.0964359, 911.9285856009309
856.9594456266982,911.9285856, 912.3452522675975
857.2473537292772,912.3452523, 913.0939296138308
857.2950312487699,913.0939296, 914.8607110570933
857.5472936933127,914.8607111, 915.6921039842364
857.7572431844619,915.692104, 916.4324292794438
857.9438620119408,916.4324293, 917.4475670191214
858.1620871659458,917.447567, 918.2617077450441
858.9893663141941,918.2617077, 919.8785641534353
859.2505430615286,919.8785642, 921.8190444000254
859.2723623559663,921.8190444, 922.235711066692
859.3178699856021,922.2357111, 923.9879567366952
859.422585753988,923.9879567, 925.2152390811614
859.7875931939406,925.2152391, 926.4778391826084
859.9508259632418,926.4778392, 928.1015180024636
860.0642760691773,928.101518, 929.6487812402355
860.0848679135001,929.6487812, 931.5224268985943
860.4972944238849,931.5224269, 932.3776049262945
860.6398584977009,932.3776049, 933.162938434656
860.9029641445138,933.1629384, 934.6486774428638
861.246966933961,934.6486774, 935.0653441095304
861.2554422626937,935.0653441, 936.3601188170812
861.4809768061036,936.3601188, 937.1990648529534
861.8141009190675,937.1990649, 938.3247981753092
861.8589883345976,938.3247982, 939.406501625017
862.1228096608866,939.4065016, 940.4291048979285
862.1902914383297,940.4291049, 940.8457715645951
863.3902891161885,940.8457716, 942.2998659639078
863.7131063645317,942.299866, 943.0468594821211
863.7707699827315,943.0468595, 945.2850662323568
864.330613550321,945.2850662, 946.2313394374166
864.4797412927691,946.2313394, 947.4944427458187
864.7366477120534,947.4944427, 948.5392932792192
865.1466084752274,948.5392933, 949.6388665630916
865.6072021444861,949.6388666, 951.5459024819115
865.7182644328639,951.5459025, 952.9193890651045
865.9184973400069,952.9193891, 953.8378821089686
866.4105324390734,953.8378821, 955.3638140310121
866.4679788608781,955.363814, 956.6689674704452
866.551754232712,956.6689675, 957.5799731937741
866.5875421381883,957.5799732, 960.0999667716878
867.4399780414709,960.0999668, 961.7532413280907
867.5673801513565,961.7532413, 963.1741827615034
867.8631239952683,963.1741828, 963.9031747851983
868.3637896923373,963.9031748, 964.7263314487707
868.3700739798311,964.7263314, 965.1429981154373
868.617839382563,965.1429981, 965.7687535835548
868.6526091036702,965.7687536, 966.1955338867909
868.6950382876197,966.1955339, 966.6122005534576
868.7965306436574,966.6122006, 968.4643828409655
869.1813668161187,968.4643828, 968.8810495076322
869.502445903582,968.8810495, 970.2137526410141
870.0719737580783,970.2137526, 971.5427777588894
870.4824650115796,971.5427778, 973.4046650993713
871.1724884756483,973.4046651, 973.9262584204643
871.2929270134968,973.9262584, 975.5674745464219
871.3213124099256,975.5674745, 977.0933097403015
871.8993513575988,977.0933097, 977.8055539445007
872.1547139883327,977.8055539, 978.2222206111674
872.1893936529144,978.2222206, 978.7800039477615
872.2541270869574,978.7800039, 979.8584700868937
872.3527904728586,979.8584701, 981.6309812530017
872.4149183250648,981.6309813, 983.1974372495523
872.7634774689044,983.1974372, 985.1140915782864
873.4466529382111,985.1140916, 986.1771906568055
873.6610086315002,986.1771907, 987.0920791981299
873.9390833765458,987.0920792, 988.6406555202061
874.3261589552973,988.6406555, 989.2563573652279
874.4230099925992,989.2563574, 989.903937606477
874.4761331682068,989.9039376, 991.2008754011157
874.8624878687771,991.2008754, 991.6572543614981
875.3396299585967,991.6572544, 992.9257284627203
875.3501671273708,992.9257285, 994.2630304836778
875.3768522209596,994.2630305, 995.7994571278483
875.6451627102329,995.7994571, 997.6113837352697
875.6801994270721,997.6113837, 998.8537500757719
875.7696462443316,998.8537501, 1000.5414530563625
876.0102084465572,1000.541453, 1002.4259007018353
876.2653370414777,1002.425901, 1002.8425673685019
876.494843383483,1002.842567, 1003.9881462295715
877.0823788746474,1003.988146, 1005.3147623978458
877.3767706025036,1005.314762, 1006.5742856288745
877.7409234045836,1006.574286, 1007.7672021270289
878.3032593956033,1007.767202, 1008.8641289214264
878.4516051333821,1008.864129, 1009.852651887323
878.5866263246103,1009.852652, 1011.1975999215153
878.6941791056703,1011.1976, 1012.0931008639566
879.2964409017615,1012.093101, 1013.8689910322819
879.3296511162769,1013.868991, 1015.2073768529106
879.7036633897452,1015.207377, 1015.8684385164878
