Corporate shift (14:00 - 22:00) arrival times,answer times,completion times
840.6167605610302,840.6167606, 845.7276530815283
841.1223905818556,845.7276531, 850.2506910031252
841.2160611514738,850.250691, 856.9034572528072
841.5459557781501,856.9034573, 861.6834013083757
843.1305737011475,861.6834013, 864.5291326981447
843.3225409229071,864.5291327, 867.6532252917655
843.3338741913822,867.6532253, 872.062092458699
843.6335910853447,872.0620925, 875.2836893859992
844.0347657486387,875.2836894, 877.5345419422046
845.5224049873196,877.5345419, 883.2107292475006
846.2241917011488,883.2107292, 888.5014915672708
848.2151267688564,888.5014916, 889.6697530113437
849.2599645835567,889.669753, 892.7057576063916
850.2928830620696,892.7057576, 895.284668810297
850.792318686859,895.2846688, 896.9189017662276
852.9497028559813,896.9189018, 900.759468605128
854.3059402846745,900.7594686, 905.1513725065936
854.3323745529868,905.1513725, 910.438844165619
855.0421713861735,910.4388442, 914.0396742876086
856.293186086143,914.0396743, 917.1756251647084
856.6601162057553,917.1756252, 921.8443991267147
857.9633051017711,921.8443991, 925.4882500504987
858.8001641310732,925.4882501, 927.4343439839997
860.7254400654182,927.434344, 930.1728595695869
861.264385763426,930.1728596, 931.5732542511163
861.53809665302,931.5732543, 935.0138027422913
862.861516758766,935.0138027, 939.7466366418302
863.5766460538287,939.7466366, 943.6762676047332
864.1617548572359,943.6762676, 947.8268032335571
864.5204611011061,947.8268032, 952.7324893045255
865.222643595816,952.7324893, 957.5257647406615
866.1831889040471,957.5257647, 961.4156485557003
866.283588421427,961.4156486, 965.6158422884345
866.506015026809,965.6158423, 969.6284579041946
867.4939284140552,969.6284579, 972.212014056481
867.882007520439,972.2120141, 973.357204897831
867.9547104284418,973.3572049, 976.5433106797503
868.6494425007879,976.5433107, 979.8192368181628
869.1812132570955,979.8192368, 981.9236970233051
869.3481725008872,981.923697, 985.4021469241386
869.485590972149,985.4021469, 991.0022108076788
870.0063077364651,991.0022108, 993.2687147099145
870.0472343387902,993.2687147, 997.1805237930388
870.1285287693586,997.1805238, 999.312737421062
870.9182974194703,999.3127374, 1002.7398170185982
870.9285345302379,1002.739817, 1004.8576925033586
871.2997026096563,1004.857693, 1006.4453189854358
871.5476654185753,1006.445319, 1009.2279948860953
872.5399720966974,1009.227995, 1012.2402682265459
872.5632333446574,1012.240268, 1015.3576318944695
873.1773854759074,1015.357632, 1017.6494810427125
874.6451179410348,1017.649481, 1020.8673183372725
876.864060312059,1020.867318, 1026.8922714312907
877.7556203104356,1026.892271, 1030.8926731807924
880.0690874080384,1030.892673, 1033.5959172090302
880.6205933386772,1033.595917, 1038.5807110660435
880.8726220624836,1038.580711, 1042.2222903898194
881.7944827791323,1042.22229, 1044.3984355764176
881.8331957131448,1044.398436, 1048.443328946795
882.9313244718512,1048.443329, 1052.8199792829125
884.51880969217,1052.819979, 1054.5094846214931
885.1219344200679,1054.509485, 1057.789369971382
885.6099196520091,1057.78937, 1063.1859649608944
885.6936532567843,1063.185965, 1066.7880545242786
886.0258169566856,1066.788055, 1070.3987384891047
889.4816702721337,1070.398738, 1074.1769491663465
890.1959386088386,1074.176949, 1076.097414764918
891.2250417047352,1076.097415, 1080.2427103451632
891.514357073366,1080.24271, 1085.0630008979426
892.1285215753879,1085.063001, 1089.8785892718265
892.2456786402684,1089.878589, 1094.3347193840093
893.228918774518,1094.334719, 1096.5499311206133
