Start of shift (22:00 - 6:00),Column1,_1
1322.483271568415,1322.483272, 1323.0671367079672
1324.4910183069123,1324.491018, 1325.3559047299675
1325.2873894077245,1325.287389, 1326.4447633592902
1325.5617242743085,1325.561724, 1326.7544472502964
1325.769412935577,1326.444763, 1327.9447671196376
1326.269237457941,1326.754447, 1328.4222108516194
1326.3134878841881,1327.944767, 1329.1441378270529
1326.4915891767787,1328.422211, 1329.4897224956424
1327.20033357366,1329.144138, 1329.5608044937196
1328.7822508657991,1329.489722, 1330.7045915895535
1332.2148345274388,1332.214835, 1333.6192083777744
1332.3563617967798,1332.356362, 1333.9550679713227
1333.4682075064125,1333.955068, 1334.8347120202234
1332.7054578733414,1333.619208, 1335.4006016106664
1334.2056470869145,1335.400602, 1335.9267739801544
1333.5391011816725,1334.834712, 1336.847975910675
1335.2896399801996,1335.926774, 1337.2832872371928
1336.2393635414564,1337.283287, 1338.4245839475088
1335.7355565499292,1336.847976, 1338.5522000447795
1337.1722305640237,1338.5522, 1339.490966817856
1336.9385535253048,1338.424584, 1339.696946001683
1337.206096487654,1339.490967, 1340.7370998161148
1338.080851857843,1339.696946, 1341.3937632792206
1338.1597798001662,1341.393763, 1342.4427576632145
1338.1346545752906,1340.7371, 1342.4518719185746
1341.0891191761964,1342.451872, 1343.0902257159694
1339.3996363100157,1342.442758, 1343.4767166605677
1341.3583898498614,1343.090226, 1344.4395739933534
1343.4977225813375,1344.439574, 1345.244825847675
1343.1306475984507,1343.476717, 1345.9414066953887
1344.8632920126752,1345.244826, 1346.244843881374
1346.064407620385,1346.244844, 1346.7457346978222
1346.2391429311776,1346.745735, 1347.162401364489
1344.9725053317854,1345.941407, 1347.28379709553
1346.6389200170254,1347.162401, 1348.881868453048
1346.8016648544126,1347.283797, 1348.9741607520896
1347.6441792136618,1348.881868, 1349.3561752520452
1348.223188017942,1348.974161, 1350.4517745747273
1348.2715415187715,1349.356175, 1350.9401270297833
1348.66765042674,1350.940127, 1351.7727967663204
1348.3684555168152,1350.451775, 1352.029660930877
1349.0254003254195,1351.772797, 1352.1894634329872
1350.3963462863862,1352.029661, 1352.4463275975438
1350.4928546973379,1352.189463, 1352.606130099654
1350.5533432675534,1352.60613, 1353.5985199329727
1350.5455552887317,1352.446328, 1354.3106817625103
1351.5333128304922,1353.59852, 1355.524559878775
1352.2368154554524,1354.310682, 1356.1067309096154
1352.9632218985034,1356.106731, 1356.8936324305173
1352.2816016758932,1355.52456, 1357.057089298777
1353.8154170729733,1357.057089, 1357.798157289527
1354.4770748015503,1357.798157, 1358.5996488423327
1353.5721990236484,1356.893632, 1358.7564330929229
1354.7882542245325,1358.599649, 1360.0408081850262
1356.2948282433993,1358.756433, 1360.131379317637
1356.509494736449,1360.040808, 1360.457474851693
1361.2500710462125,1361.250071, 1362.201115784019
1361.0675114329752,1361.067511, 1362.5429789157888
1361.6844083828335,1362.201116, 1362.8107277723914
1362.6095541936638,1362.609554, 1363.0262208603306
1363.335226638826,1363.335227, 1364.3312520150732
