Start of shift (14:00 - 22:00),Column1,_1
840.3942046580504,840.3942047, 840.9853547434386
840.0977135854201,840.0977136, 841.2030801340516
841.2313877785996,841.2313878, 842.0900355025373
841.9592247129068,841.9592247, 842.5687867589043
842.6202154674615,842.6202155, 843.0368821341282
842.1265790178281,842.126579, 843.0372758578147
842.3881583632923,842.3881584, 843.286204129005
840.8936522380258,840.8936522, 843.4276472602107
842.9797550433511,843.0368821, 843.6335374339362
842.4474532276635,842.4474532, 844.4650709622932
844.4474405417773,844.4474405, 844.8641072084439
843.2025190219291,843.202519, 845.0643775012668
845.2332511171451,845.2332511, 845.9468564710936
844.52307681034,844.5230768, 845.9516492452957
844.5835323028372,844.5835323, 845.9565208114332
844.432113229003,844.4321132, 846.2972435889053
844.6115930440449,844.8641072, 846.3319172086688
846.4697416164522,846.4697416, 847.4801149101637
845.9521677426756,845.9521677, 847.4888353490627
846.8677584793684,846.8677585, 848.1060017656067
847.0801991503286,847.0801992, 848.8299667653472
848.7451210375848,848.745121, 849.5792050659715
848.4451724162818,848.4451724, 850.1377875622911
848.6481930902303,848.6481931, 850.3165018615142
848.3812524212373,848.3812524, 850.3308267857929
848.8259469724579,848.8299668, 850.618615752618
849.0771470801218,850.1377876, 850.6337625095385
848.9639932368469,849.5792051, 850.7069662066309
849.2046634708324,850.3308268, 850.7474934524595
849.1853978979562,850.3165019, 851.2981672588719
849.6333617675123,850.6337625, 851.4504896488734
849.4187628105418,850.6186158, 851.6370879451135
850.0741351416567,850.7069662, 851.6733501358564
850.6092202227705,851.2981673, 851.7148339255385
850.942804192889,851.4504896, 852.4161810011014
850.269133729649,850.7474935, 852.4630461399746
851.4009181025119,851.7148339, 852.4693281758309
852.0649715746224,852.4630461, 852.8797128066412
851.0686586577646,851.6370879, 852.935933855601
852.5500783951247,852.8797128, 853.2963794733079
852.5112883313094,852.5112883, 853.8795264419532
851.2930942783822,851.6733501, 854.2340011861384
852.7824774117898,852.9359339, 854.4552625586776
851.584748456071,852.416181, 854.5473547346386
852.8094729202198,853.2963795, 855.3573389803723
852.9431425473541,853.8795264, 855.5248260227021
853.2758200614275,854.2340012, 855.8550011455607
853.7574686120545,854.5473547, 856.2928839363277
853.6788412319187,854.4552626, 856.3497267517504
855.0545516556344,855.8550011, 856.4828504100172
853.8319189546854,855.357339, 857.2005203703911
856.2563600493544,856.4828504, 857.2038014258442
855.2581780168239,856.3497268, 857.5662758413092
853.9947149796682,855.524826, 857.5776782141703
856.761274055707,857.5662758, 857.9829425079758
856.9109910231655,857.5776782, 857.9943448808369
855.1807088369657,856.2928839, 858.5011175948754
856.6947714797096,857.2038014, 858.6140091791182
856.2833668575001,857.2005204, 858.7874492575968
857.1662510779549,857.9829425, 858.9528844776607
857.2159776899096,857.9943449, 859.562904288197
858.4284852160922,858.9528845, 859.6017072540646
859.1042285574714,859.6017073, 860.2221526729234
857.451625499762,858.5011176, 860.3869663200071
857.4697524121949,858.6140092, 860.4256889730399
859.886960278964,860.3869663, 860.8036329866737
859.7575793116393,860.2221527, 860.9008053698318
858.5295294400813,859.5629043, 861.0681781162418
857.9878650834577,858.7874493, 861.1229624727424
860.658579156908,860.9008054, 861.5875750604594
860.004289405273,860.425689, 861.6558292830447
860.170252168579,860.803633, 862.2417340000806
860.8375004498106,861.1229625, 862.4506691154533
861.4778879732754,861.5875751, 862.5392034023723
860.7407704711109,861.0681781, 862.9685657192884
862.6460504334018,862.6460504, 863.0627171000684
862.8227100490357,863.0627171, 863.479383766735
861.4995454854169,861.6558293, 863.7802232995402
862.685735690619,862.9685657, 864.2976677371009
863.3207274242795,863.4793838, 864.3286684980349
861.9145299369451,862.241734, 864.3887254800583
862.477932854099,862.4779329, 864.5828786311863
864.0327192634549,864.3286685, 864.9545765058867
863.9740382844996,863.9740383, 865.4221921349315
864.2474587444702,864.3887255, 865.7082900276561
864.3850388824089,864.5828786, 865.7097129383232
864.0122947810016,864.2976677, 865.8564275954737
865.1318016650605,865.7097129, 866.1301370994562
864.8419726411886,865.70829, 866.7839214347282
864.7238979699571,865.4221921, 867.3221261476159
864.59220865306,864.9545765, 867.419560828028
865.8100979665209,866.1301371, 867.8645951758916
866.0017585449946,866.7839214, 867.9024666186103
865.7451263713134,865.8564276, 867.9655121886533
868.0059392496124,868.0059392, 868.422605916279
866.2930056163855,867.3221261, 869.1975257015212
867.8839159957482,867.9024666, 869.3657006882851
866.6943523380921,867.8645952, 869.9139884536324
866.3638466275302,867.4195608, 870.0452866480962
868.8535137185412,869.3657007, 870.5197196510878
868.6110749637648,868.611075, 870.821709941251
868.7336497406078,869.1975257, 870.9075701537465
869.0670790150483,870.0452866, 871.1100786806882
869.1889878274652,870.8217099, 871.4785780688002
868.8714518468192,869.9139885, 871.9113781697099
869.7387949756896,870.9075702, 871.9468071916401
869.8371430139531,871.1100787, 871.9727526753259
869.9251455987875,871.4785781, 872.4046692373046
869.1177768920786,870.5197197, 872.4333299307193
871.2612851809984,871.9727527, 873.1562108815767
870.2719475208427,871.9113782, 873.2126035963806
872.103327548679,873.2126036, 873.6292702630473
871.9434369295041,873.1562109, 873.7988651939
870.3072809012677,871.9468072, 874.2397056111973
871.3504954195005,872.4333299, 874.3347810005725
871.2723159024471,872.4046692, 874.4240677316684
872.2791600566788,874.2397056, 874.7691300863404
872.2490085480614,873.6292703, 874.8896538474087
872.2547633125673,873.7988652, 875.4471618668858
872.9487780200395,875.4471619, 875.8638285335525
872.5629390959392,874.334781, 876.192554936568
872.5702312250269,874.4240677, 876.3475505172381
873.2579254432685,875.8638285, 876.3718345174066
872.5994329792718,874.7691301, 876.3909065968996
873.9593544023202,876.3909066, 877.1674656298162
873.3873391880418,876.3475505, 877.2679168192685
872.898908936464,874.8896538, 877.306895993605
873.9083858958799,876.3718345, 877.6633452928547
874.2369886437958,877.2679168, 877.787264814442
873.2959336224582,876.1925549, 878.0511511375554
874.4830288666235,877.7872648, 878.80152570361
874.2196087416246,877.1674656, 879.0048742141921
874.6662878218832,878.0511511, 879.0251161895329
874.3116684452973,877.306896, 879.1057275637787
874.3261027712829,877.6633453, 879.1784934475484
874.8525294649764,878.8015257, 879.7851638995169
874.8845405224394,879.0048742, 879.9069136387798
875.0690072419932,879.0251162, 880.2633232976837
875.1865173069596,879.1784934, 880.2957897403135
875.1188639428694,879.1057276, 880.3165991723513
875.6152459046261,880.2633233, 880.6799899643503
875.5492668241051,879.9069136, 881.1399027855327
876.7203553234477,881.1399028, 881.5565694521994
875.2695788191186,879.7851639, 881.7148274668964
876.0130443996883,880.2957897, 882.3875912656414
877.6694721301506,881.7148275, 882.432486408518
876.2445868782615,880.3165992, 882.4809497469605
876.9525017451606,881.5565695, 882.8496743708819
876.5644068178234,880.67999, 882.9282247378962
877.8118650062568,882.4324864, 883.2111089340774
877.6970575846141,882.3875913, 883.5681231710977
878.3975468102961,883.2111089, 883.627775600744
877.9667469303187,882.9282247, 883.9829257120565
877.9384371413389,882.8496744, 883.9974340720333
878.6554307387629,883.6277756, 884.0444422674107
877.8703923857265,882.4809497, 884.4743158128151
878.9774892996584,883.9829257, 885.3414391165103
879.0078274059516,883.9974341, 885.5236257059966
