Start of shift (22:00 - 6:00),Column1,_1
1321.2882440737558,1321.288244, 1322.759568525873
1322.3916139263715,1322.391614, 1324.908060719768
1335.1232011526033,1335.123201, 1338.6961102325415
1336.5573867817407,1336.557387, 1340.1321171276054
1339.8194397936318,1339.81944, 1343.2625663061344
1345.5961893552244,1345.596189, 1349.897115765623
1351.08224337317,1351.082243, 1353.576887754478
1362.0337783864607,1362.033778, 1364.6158482968171
1365.6666226255575,1365.666623, 1368.1341449919992
1364.329761924656,1364.329762, 1368.3024433622372
1366.5537105210033,1368.134145, 1371.0407529007243
1381.4722684615278,1381.472268, 1383.9088639781842
1384.4531243234883,1384.453124, 1388.4749593312765
1384.6412196277067,1384.64122, 1388.778043179567
1385.0771295404827,1388.474959, 1392.0646228758746
1395.7147382834646,1395.714738, 1397.1202193960767
1402.8388277292079,1402.838828, 1407.4495784864434
1406.3755061441584,1406.375506, 1410.500870803644
1407.782321397919,1407.782321, 1411.1203174085567
1412.5837825217454,1412.583783, 1415.877037519643
1411.8311306872208,1411.831131, 1417.0573565857385
1414.3695529980855,1415.877038, 1419.4659051098577
1415.4027259630598,1417.057357, 1421.258391605448
1424.6458622179148,1424.645862, 1427.9265714089984
1425.106414819632,1425.106415, 1429.5610471407501
1429.7450910169998,1429.745091, 1432.1903180854429
1429.460943853986,1429.460944, 1432.3883978121178
1432.882604982748,1432.882605, 1436.6074193768338
1432.658990225959,1432.65899, 1437.0195922886292
1434.888856865202,1436.607419, 1439.9776497115372
1447.0205886319898,1447.020589, 1450.0980518267766
1452.0953346977876,1452.095335, 1456.138101701489
1457.786787872774,1457.786788, 1460.64409017221
1458.6338666475992,1460.64409, 1464.452067039745
1458.3020803220372,1458.30208, 1465.0981942420972
1462.9224483537334,1465.098194, 1468.8205357371983
1462.1562622477952,1464.452067, 1469.038898534672
1469.7240368964976,1469.724037, 1471.0482751137279
1478.4835823448618,1478.483582, 1481.462633228784
1484.3821908507327,1484.382191, 1487.0558234339896
1491.130358655825,1491.130359, 1493.7279803259719
1490.4242602456113,1490.42426, 1494.9431465981854
1491.7356612969427,1493.72798, 1495.6152784767576
1493.8657882423474,1494.943147, 1498.6202729397496
1499.8446756142848,1499.844676, 1502.007586723186
1520.20873677625,1520.208737, 1523.4780204649924
1524.1410815638715,1524.141082, 1527.1394052584326
1526.9065808954065,1526.906581, 1530.809479746306
1531.1141262670171,1531.114126, 1533.9665121113985
1529.6016893593587,1529.601689, 1535.5215398358457
1533.1618743545553,1533.966512, 1537.3286565497579
1539.0245559540347,1539.024556, 1541.6438996156164
1539.2864648805157,1539.286465, 1542.9498863351434
1539.6074075904385,1541.6439, 1543.368177651412
1539.6906995669026,1542.949886, 1548.2340286439266
1550.451846027334,1550.451846, 1554.1501358593478
1551.3163626958617,1551.316363, 1554.8626962027727
1557.5094423296082,1557.509442, 1563.3321767323316
1557.4809963142427,1557.480996, 1564.0317027872961
1562.7169195361498,1563.332177, 1566.727996058855
1572.854229532946,1572.85423, 1576.9130102141046
1579.566557362925,1579.566557, 1582.6623218633797
1589.250484609921,1589.250485, 1594.665659612131
1591.776638881946,1591.776639, 1595.8493958482602
1593.7841520528682,1594.66566, 1600.3541832251003
1596.4104557181347,1596.410456, 1600.5826948754868
1609.6213904724825,1609.62139, 1611.573966702636
1610.6825697766526,1610.68257, 1613.9629533692678
1610.886082362462,1611.573967, 1616.6094928894984
1611.8409226560134,1613.962953, 1617.8492207237039
1612.8062859382344,1616.609493, 1619.9896409132255
1628.8757932980564,1628.875793, 1634.106604037269
1642.3912741368838,1642.391274, 1647.5335283765944
1644.1458925180614,1644.145893, 1648.3128318138617
1646.207296152095,1647.533528, 1652.082151161638
1647.9040010742917,1648.312832, 1652.906158248226
1651.7242097673357,1652.906158, 1656.4075935515693
1650.417589103893,1652.082151, 1656.600297296421
1656.093505950652,1656.407594, 1659.828742809732
1667.0498397990998,1667.04984, 1668.4715176527932
1665.7666244600784,1665.766624, 1668.5333602275782
1671.3165459135387,1671.316546, 1676.36655486577
1688.4753766528288,1688.475377, 1692.833770794686
1699.25081226473,1699.250812, 1704.757346725123
1700.3326041047376,1700.332604, 1705.7457418405095
1705.8856541753578,1705.885654, 1708.6246435426456
1713.1224801141318,1713.12248, 1715.5673637722325
1714.0529993838074,1714.052999, 1717.176147318875
1728.3647985119696,1728.364799, 1729.4919329589306
1728.207215259901,1728.207215, 1733.5975286898693
1729.3957320921013,1729.491933, 1734.970973092025
1730.0254034867864,1733.597529, 1735.9920220397387
1738.2576527611268,1738.257653, 1741.8988759262945
1742.514533592648,1742.514534, 1745.4793341315897
1750.651387936449,1750.651388, 1756.6030853776504
1760.4503230369837,1760.450323, 1763.0989365360779
1761.8718328282162,1761.871833, 1767.8906038060177
1764.662399302611,1764.662399, 1768.873919006752
1771.893854630493,1771.893855, 1775.177614708567
1774.0757024416243,1774.075702, 1776.0496480330278
1779.2511030579717,1779.251103, 1784.875820252765
1784.8426310894743,1784.842631, 1788.4503666311819
1791.6962662947153,1791.696266, 1792.4462662947153
1789.7944334050674,1789.794433, 1793.8513401739697
1794.6794108153842,1794.679411, 1799.3791422896657
,,
