Start of shift (14:00 - 22:00),Column1,_1
840.2565470612888,840.2565471, 843.1231181070058
841.3111636488571,841.3111636, 843.6546177322839
842.2083820398701,842.208382, 844.7682089756742
842.4680447385306,842.4680447, 845.1394614001987
842.8841302163621,842.8841302, 847.0402042373472
845.1726800364236,845.17268, 847.4052838495061
844.5447223051998,844.5447223, 848.4372809961696
844.436190161607,844.4361902, 849.1819230408651
846.6035600447198,846.60356, 850.0104702296663
849.1947890838136,849.1947891, 850.5477149614593
848.4676521382149,848.4676521, 851.9015763388388
850.0447011307409,850.0447011, 853.0421094606421
848.5173624568031,848.5173625, 853.2430500818277
850.124386391699,850.1243864, 853.3859927354772
849.4175232836774,849.4175233, 853.5658529617253
851.3776395356093,851.3776395, 855.3743763175207
853.7608972284112,853.7608972, 855.7041250170754
851.7050931585991,851.9015763, 855.9484901452178
854.077277208357,854.0772772, 856.0266184543898
851.8277475338066,853.0421095, 857.1477382957211
853.7716568992232,853.7716569, 857.9183870225015
854.6260460331861,855.704125, 858.5302972356343
854.6077094360554,855.3743763, 858.799001304866
856.688288383897,856.6882884, 859.8467893932465
857.9405028646489,857.9405029, 860.0621024777947
858.989243332494,858.9892433, 860.130443230936
854.7822326966741,855.9484901, 860.7939930491415
858.5234396584501,858.5302972, 860.8610912655237
857.8540277825422,857.8540278, 863.7931630036439
859.2383259433067,859.8467894, 863.9741559765079
861.4078914176201,861.4078914, 865.0735099310734
864.1988641981434,864.1988642, 865.1333025337932
863.1197052958656,863.1197053, 867.5406486840993
866.183292388877,866.1832924, 867.9653607469147
863.2811103768754,863.2811104, 868.7290033577709
865.046593040209,865.046593, 869.5427992366756
867.9067295475137,867.9067295, 871.1337138542901
868.1463022096066,868.1463022, 872.1742594746581
868.2203117873931,868.2203118, 872.255352929178
869.4867402099559,869.4867402, 873.0235315365313
869.2983537517038,869.2983538, 874.3877056259327
870.1072413102726,870.1072413, 875.573561606648
872.6316218003999,872.6316218, 875.7203449101082
870.1437946794772,871.1337139, 875.7758295181485
873.5799151616395,873.5799152, 876.2867341118356
870.6499160128885,872.1742595, 877.3738511332024
875.0065105645485,875.0065106, 878.2443450402698
875.3481936827269,875.5735616, 879.8451119989379
876.5755078237712,876.5755078, 880.2876660809269
877.4583060683655,877.4583061, 882.6367196511599
878.6873657886812,878.6873658, 883.1115529183955
881.161386498801,881.1613865, 883.8433153983796
881.3138515345828,881.3138515, 884.2082415746905
882.2413834861286,883.1115529, 885.450152007889
882.1132313431253,882.6367197, 885.451107458476
881.5244785096097,881.5244785, 885.9605499574059
881.3894815989348,881.3894816, 886.8003443268733
885.1244378759465,885.1244379, 888.5638791695704
885.1429077090148,885.1429077, 889.3948439996162
886.7163852714983,886.7163853, 889.5211085955048
888.6274925099787,888.6274925, 891.1484314017912
887.5190082111479,887.5190082, 891.296619114422
888.9427459456066,888.9427459, 891.9266639712217
888.0984265826675,888.0984266, 892.0181599139567
889.3718875642961,889.394844, 893.7082339749546
891.4510800830606,891.4510801, 894.6739012766077
892.3752791232723,892.3752791, 896.3150452662726
892.7957529685132,892.795753, 897.0011133719778
893.8992958398628,893.8992958, 897.1492405802851
895.9996888159538,895.9996888, 898.0770244557845
894.2937076895115,894.2937077, 899.0422797727665
897.7378031342496,897.7378031, 901.1844767348806
895.6855358631418,895.6855359, 901.4049308513285
897.9795234173645,897.9795234, 901.9335950450165
899.2163171549287,899.2163172, 902.5445625042262
900.7507601856905,900.7507602, 904.0847854383505
902.1186287099911,902.1186287, 905.2828459944096
901.5911560252431,901.591156, 906.1298598515341
902.2550457360791,902.2550457, 908.0386991134353
902.6541854096273,902.6541854, 908.7696478566487
905.4491274085524,905.4491274, 908.838422503644
906.1908877824384,906.1908878, 908.8551934719842
906.358672409976,906.3586724, 909.3213762946102
906.3173196168043,906.3173196, 909.7441888933249
907.0833126121851,908.0386991, 911.0073258609433
908.9352880456332,908.935288, 911.800458947217
907.9166745357172,908.7696479, 911.8600217315238
910.1894882394934,910.1894882, 914.0231903109127
910.9667348933217,910.9667349, 914.3539375747788
911.9838856441453,911.9838856, 914.3851055608272
910.1002496974654,910.1002497, 914.7235213541439
912.192069574805,912.1920696, 915.7913188690678
912.4611145684721,914.0231903, 916.9808584311679
910.9780139303791,911.0073259, 917.1131131956174
915.1349742753338,915.1349743, 918.5042802450633
913.8489798723922,914.3539376, 919.8546035823987
916.8349082344565,916.8349082, 920.7947338368099
918.5102748826522,918.5102749, 921.7565324753876
920.7993056668744,920.7993057, 923.6529703835521
919.1198774084562,919.1198774, 923.9624220540982
921.205590794707,921.2055908, 923.9742788983118
923.000904398159,923.0009044, 925.9819175148434
922.2835554979923,922.2835555, 926.1813446049595
922.8646559314037,922.8646559, 927.4081569083158
924.1304071580265,924.1304072, 927.831088062103
927.9314735239153,927.9314735, 929.4364144118217
